StockCode,Date,Quantity,Price,Month,DayOfWeek,WeekOfYear,Lag1,RollingMean7,StockCodeEnc
20685,2009-12-02,18,6.483333333333333,12,2,49,47.0,47.0,0
20685,2009-12-03,24,6.616666666666667,12,3,49,18.0,32.5,0
20685,2009-12-04,37,6.572222222222222,12,4,49,24.0,29.666666666666668,0
20685,2009-12-05,12,6.75,12,5,49,37.0,31.5,0
20685,2009-12-06,10,6.75,12,6,49,12.0,27.6,0
20685,2009-12-07,16,6.483333333333333,12,0,50,10.0,24.666666666666668,0
20685,2009-12-08,18,6.590000000000001,12,1,50,16.0,23.428571428571427,0
20685,2009-12-09,6,6.75,12,2,50,18.0,19.285714285714285,0
20685,2009-12-10,53,6.483333333333333,12,3,50,6.0,17.571428571428573,0
20685,2009-12-11,2,6.75,12,4,50,53.0,21.714285714285715,0
20685,2009-12-13,7,6.75,12,6,50,2.0,16.714285714285715,0
20685,2009-12-14,26,6.43,12,0,51,7.0,16.0,0
20685,2009-12-15,131,5.566666666666666,12,1,51,26.0,18.285714285714285,0
20685,2009-12-16,5,6.75,12,2,51,131.0,34.714285714285715,0
20685,2009-12-17,30,6.483333333333333,12,3,51,5.0,32.857142857142854,0
20685,2009-12-18,21,6.55,12,4,51,30.0,36.285714285714285,0
20685,2009-12-20,3,6.75,12,6,51,21.0,31.714285714285715,0
20685,2009-12-21,44,6.483333333333333,12,0,52,3.0,31.857142857142858,0
20685,2009-12-23,10,6.75,12,2,52,44.0,37.142857142857146,0
20685,2010-01-04,1,6.75,1,0,1,10.0,34.857142857142854,0
20685,2010-01-07,163,6.35,1,3,1,1.0,16.285714285714285,0
20685,2010-01-08,27,6.55,1,4,1,163.0,38.857142857142854,0
20685,2010-01-10,26,6.483333333333333,1,6,1,27.0,38.42857142857143,0
20685,2010-01-11,47,6.292857142857143,1,0,2,26.0,39.142857142857146,0
20685,2010-01-12,2,6.75,1,1,2,47.0,45.42857142857143,0
20685,2010-01-13,12,6.35,1,2,2,2.0,39.42857142857143,0
20685,2010-01-14,9,6.75,1,3,2,12.0,39.714285714285715,0
20685,2010-01-15,2,6.75,1,4,2,9.0,40.857142857142854,0
20685,2010-01-17,1,6.75,1,6,2,2.0,17.857142857142858,0
20685,2010-01-18,3,6.75,1,0,3,1.0,14.142857142857142,0
20685,2010-01-19,8,6.75,1,1,3,3.0,10.857142857142858,0
20685,2010-01-20,5,6.75,1,2,3,8.0,5.285714285714286,0
20685,2010-01-21,2,6.75,1,3,3,5.0,5.714285714285714,0
20685,2010-01-22,6,6.75,1,4,3,2.0,4.285714285714286,0
20685,2010-01-24,16,6.590000000000001,1,6,3,6.0,3.857142857142857,0
20685,2010-01-25,17,6.55,1,0,4,16.0,5.857142857142857,0
20685,2010-01-26,49,6.616666666666667,1,1,4,17.0,8.142857142857142,0
20685,2010-01-27,15,6.483333333333333,1,2,4,49.0,14.714285714285714,0
20685,2010-01-28,12,6.75,1,3,4,15.0,15.714285714285714,0
20685,2010-01-29,11,6.35,1,4,4,12.0,16.714285714285715,0
20685,2010-01-31,28,6.35,1,6,4,11.0,18.0,0
20685,2010-02-01,14,6.35,2,0,5,28.0,21.142857142857142,0
20685,2010-02-02,10,5.95,2,1,5,14.0,20.857142857142858,0
20685,2010-02-03,75,6.3500000000000005,2,2,5,10.0,19.857142857142858,0
20685,2010-02-04,6,7.12,2,3,5,75.0,23.571428571428573,0
20685,2010-02-05,215,5.9625,2,4,5,6.0,22.285714285714285,0
20685,2010-02-07,54,7.034000000000001,2,6,5,215.0,51.285714285714285,0
20685,2010-02-08,5,6.996666666666667,2,0,6,54.0,57.42857142857143,0
20685,2010-02-09,18,6.863333333333333,2,1,6,5.0,54.142857142857146,0
20685,2010-02-10,4,7.489999999999999,2,2,6,18.0,54.714285714285715,0
20685,2010-02-11,20,7.3,2,3,6,4.0,53.857142857142854,0
20685,2010-02-12,14,6.976666666666667,2,4,6,20.0,46.0,0
20685,2010-02-14,31,7.109999999999999,2,6,6,14.0,47.142857142857146,0
20685,2010-02-15,24,6.596666666666667,2,0,7,31.0,20.857142857142858,0
20685,2010-02-16,20,7.2620000000000005,2,1,7,24.0,16.571428571428573,0
20685,2010-02-17,22,6.596666666666667,2,2,7,20.0,18.714285714285715,0
20685,2010-02-18,95,6.781428571428571,2,3,7,22.0,19.285714285714285,0
20685,2010-02-19,204,6.5200000000000005,2,4,7,95.0,32.285714285714285,0
20685,2010-02-21,13,7.49,2,6,7,204.0,58.57142857142857,0
20685,2010-02-22,42,7.176666666666667,2,0,8,13.0,58.42857142857143,0
20685,2010-02-23,15,7.109999999999999,2,1,8,42.0,60.0,0
20685,2010-02-24,23,7.034000000000001,2,2,8,15.0,58.714285714285715,0
20685,2010-02-25,133,7.04,2,3,8,23.0,59.142857142857146,0
20685,2010-02-26,9,7.49,2,4,8,133.0,75.0,0
20685,2010-02-28,54,6.92,2,6,8,9.0,62.714285714285715,0
20685,2010-03-01,15,7.02,3,0,9,54.0,41.285714285714285,0
20685,2010-03-02,16,7.109999999999999,3,1,9,15.0,41.57142857142857,0
20685,2010-03-03,71,7.034000000000001,3,2,9,16.0,37.857142857142854,0
20685,2010-03-04,11,6.92,3,3,9,71.0,45.857142857142854,0
20685,2010-03-05,3,7.49,3,4,9,11.0,44.142857142857146,0
20685,2010-03-07,11,7.49,3,6,9,3.0,25.571428571428573,0
20685,2010-03-08,26,7.109999999999999,3,0,10,11.0,25.857142857142858,0
20685,2010-03-09,12,6.92,3,1,10,26.0,21.857142857142858,0
20685,2010-03-10,3,7.49,3,2,10,12.0,21.428571428571427,0
20685,2010-03-11,11,6.92,3,3,10,3.0,19.571428571428573,0
20685,2010-03-12,16,7.109999999999999,3,4,10,11.0,11.0,0
20685,2010-03-14,10,6.35,3,6,10,16.0,11.714285714285714,0
20685,2010-03-15,12,7.109999999999999,3,0,11,10.0,12.714285714285714,0
20685,2010-03-16,24,6.7299999999999995,3,1,11,12.0,12.857142857142858,0
20685,2010-03-17,46,7.034000000000001,3,2,11,24.0,12.571428571428571,0
20685,2010-03-18,7,7.49,3,3,11,46.0,17.428571428571427,0
20685,2010-03-19,35,7.327142857142857,3,4,11,7.0,18.0,0
20685,2010-03-21,8,7.49,3,6,11,35.0,21.428571428571427,0
20685,2010-03-22,4,7.49,3,0,12,8.0,20.285714285714285,0
20685,2010-03-23,4,7.49,3,1,12,4.0,19.428571428571427,0
20685,2010-03-24,10,7.489999999999999,3,2,12,4.0,18.285714285714285,0
20685,2010-03-25,10,7.49,3,3,12,10.0,16.285714285714285,0
20685,2010-03-26,42,6.7299999999999995,3,4,12,10.0,11.142857142857142,0
20685,2010-03-28,4,7.49,3,6,12,42.0,16.142857142857142,0
20685,2010-03-29,12,6.92,3,0,13,4.0,11.714285714285714,0
20685,2010-03-30,11,6.92,3,1,13,12.0,12.285714285714286,0
20685,2010-03-31,2,7.49,3,2,13,11.0,13.285714285714286,0
20685,2010-04-01,16,7.2620000000000005,4,3,13,2.0,13.0,0
20685,2010-04-06,40,6.919999999999999,4,1,14,16.0,13.857142857142858,0
20685,2010-04-07,9,7.49,4,2,14,40.0,18.142857142857142,0
20685,2010-04-08,20,7.327142857142857,4,3,14,9.0,13.428571428571429,0
20685,2010-04-09,10,6.92,4,4,14,20.0,15.714285714285714,0
