Customer ID,Recency,Frequency,Monetary,AvgOrderValue,TotalQuantity,Churn,Segment,SegmentName
12346,326,12,77556.46,2281.0723529411766,74285,1,0,Regular Customers
12347,2,8,4921.53,22.169054054054055,2967,0,0,Regular Customers
12348,75,5,2019.4,39.596078431372554,2714,0,0,Regular Customers
12349,19,4,4428.69,25.3068,1624,0,0,Regular Customers
12350,310,1,334.4,19.670588235294115,197,1,1,At Risk / Lost
12351,375,1,300.93,14.33,261,1,1,At Risk / Lost
12352,36,10,2849.84,27.668349514563108,724,0,0,Regular Customers
12353,204,2,406.76,16.948333333333334,212,1,0,Regular Customers
12354,232,1,1079.4,18.610344827586207,530,1,0,Regular Customers
12355,214,2,947.61,27.074571428571428,543,1,0,Regular Customers
12356,23,6,6371.73,44.87133802816901,3416,0,0,Regular Customers
12357,33,3,18287.66,61.78263513513514,6587,0,0,Regular Customers
12358,2,5,3887.07,50.48142857142857,1079,0,0,Regular Customers
12359,58,10,8873.39,24.5121270718232,2739,0,0,Regular Customers
12360,52,8,4252.89,19.59857142857143,2459,0,0,Regular Customers
12361,287,4,511.25,17.629310344827587,235,1,1,At Risk / Lost
12362,3,11,5356.23,20.06078651685393,2230,0,0,Regular Customers
12363,110,2,552.0,24.0,408,1,0,Regular Customers
12364,8,4,1313.1,15.448235294117646,1506,0,0,Regular Customers
12365,291,2,641.38,29.153636363636362,174,1,1,At Risk / Lost
12366,634,1,500.24,166.74666666666667,296,1,1,At Risk / Lost
12367,4,1,168.9,15.354545454545455,173,0,0,Regular Customers
12368,628,1,917.6999999999999,50.98333333333333,330,1,1,At Risk / Lost
12369,413,3,1791.15,19.25967741935484,1241,1,1,At Risk / Lost
12370,51,7,4316.56,21.47542288557214,2604,0,0,Regular Customers
12371,45,5,4067.38,24.35556886227545,1436,0,0,Regular Customers
12372,72,3,1298.04,24.962307692307693,794,0,0,Regular Customers
12373,311,3,1127.65,22.110784313725492,516,1,1,At Risk / Lost
12374,25,4,2989.2200000000003,36.01469879518073,1362,0,0,Regular Customers
12375,11,2,457.5,26.91176470588235,178,0,0,Regular Customers
12376,390,2,503.15,38.70384615384615,240,1,1,At Risk / Lost
12377,315,4,3426.32,22.54157894736842,2105,1,1,At Risk / Lost
12378,130,2,5416.32,17.994418604651162,3316,1,0,Regular Customers
12379,82,4,1620.22,20.002716049382716,815,0,0,Regular Customers
12380,22,11,9676.300000000001,34.93249097472925,3355,0,0,Regular Customers
12381,5,5,1845.31,21.21045977011494,808,0,0,Regular Customers
12383,185,5,1850.56,18.69252525252525,1532,1,0,Regular Customers
12384,29,2,585.27,21.676666666666666,126,0,0,Regular Customers
12385,379,1,1938.4,29.821538461538463,612,1,1,At Risk / Lost
12386,338,2,401.9,40.19,354,1,1,At Risk / Lost
12387,415,1,143.94,15.993333333333332,134,1,1,At Risk / Lost
12388,16,8,3901.11,26.719931506849317,2001,0,0,Regular Customers
12389,403,3,1433.33,29.251632653061222,614,1,1,At Risk / Lost
12390,80,1,549.84,17.1825,353,0,0,Regular Customers
12391,22,6,2724.84,10.205393258426966,1204,0,0,Regular Customers
